년도	제목	장르	가사
1993	나를 돌아봐	랩/힙합	이제 우리가 시작하겠어 바로 여기서 D E U X DEUX 여기서 우린 보여주고 싶어 D E U X DEUX DEUX 하루 하루 반복되는 날들 의미를 찾을 수 없어 순간 순간이 나에겐 힘들어 왜 언제나 너는 내 맘 속에 난 벗어나고 싶어 언제나 슬픔의 벽속에 나는 둘러싸여져 있는데 시간이 갈수록 그대는 자꾸만 멀어져 가고 있는걸 나를 돌아봐 그대 나를 너의 맘속엔 내가 없지만 나를 돌아봐 나는 지금 널 그리며 서 있어 그대는 나를 슬퍼하는 나를 지금 기다림에 날을 계속하고만 있는 나를 WHY 왜 자꾸만 외면하고 멀어져가는 거야 그대 나에게 두근거리는 내 마음을 그대는 가슴을 닫아 두고 외면을 하고 있지만 언젠가는 넌 알 수 있을꺼야 그때 너의 마음 나에게만 보여줘 언제나 슬픔의 벽속에 나는 둘러싸여져 있는데 시간이 갈수록 그대는 자꾸만 멀어져 가고 있는걸 나를 돌아봐 그대 나를 너의 맘속엔 내가 없지만 나를 돌아봐 나는 지금 널 그리며 서 있어 그대는 나를 가슴 아파하는 나를 난 너 너만을 얻고 싶어 이런 나를 정말로 정말로 이대로 지나칠 수 밖에없는지 정말 난 그대와 정말 사랑할 순 없는지 나를 돌아봐줘 그대여 나를 돌아봐 그대와 나는 하나 될 수 없는 거야 나를 돌아봐줘 그대여 나를 돌아봐 나를 돌아봐 그대 나를 너의 맘속엔 내가 없지만 나를 돌아봐 나는 지금 널 그리며 서 있어
1993	우리는	랩/힙합	난 누군가 또 여긴 어딘가 지금 저 멀리서 누가 날 부르고 있어- 난 누군가 또 여긴 어딘가 이젠 우린 앞을 향해서만 나가겠어- 주위를 아무리 둘러봐도 내곁엔 항상 어둠뿐이었지- 느낄수 있는건 나의 힘든 거친 숨소리 하나일-뿐 무너져버린 희망 또 후회속에 난 지내왔지 하지만 이제 나는 저 알수 없는 빛을 향해 달려가고 있어- 난 누군가 또 여긴 어딘가 지금 저 멀리서 누가 날 부르고 있어- 난 누군가 또 여긴 어딘가 이젠 우린 앞을 향해서만 나가겠어- 모든건 생각하기에 달려 있는거야 너 그리고 나 다들 모두 마찬가지야 내게로 주어져 있는 생은 나에게 소중한 걸 나는 살아가며 이제 깨닫게 되었어 언제까지나 힘들지만은 않을거야 비록 지금의 그대가 믿을 수 없어도 우 지금이 힘들어도 그대가 믿기만 한다면 언젠가 새로운 모습이 되었을거야  나에게 힘든 수많은 일들 나를 쓰러지게 만들었어도- 나에겐 앞으로 더욱 많은 날들이 남아 있을뿐이야 무너져버린 희망 또 후회속에 난 지내왔지 하지만 이제 나는 내 앞에 있는 그댈 향해 달려가고 있어- 난 누군가 또 여긴 어딘가 지금 저 멀리서 누가 날 부르고 있어- 난 누군가 또 여긴 어딘가 이젠 우리 앞을 향해서만 나가겠어-  난 누군가 또 여긴 어딘가 지금 저 멀리서 누가 날 부르고 있어- 난 누군가 또 여긴 어딘가 이젠 우린 앞을 향해서만 나가겠어-
1994	여름 안에서	랩/힙합	언제나 꿈꿔 온 순간이 여기 지금 내게 시작되고 있어 그렇게 너를 사랑했던 내 마음을 넌 받아 주었어 오 내 기분만큼 밝은 태양과 시원한 바람들이 내게 다가와 나는 이렇게 행복을 느껴 하늘은 우릴 항해 열려 있어 그리고 내곁에는 니가 있어 환한 미소와 함께 서 있는 그래 너는 푸른 바다야  같은 시간 속에 이렇게 함께 있는 것만으로도 난 좋아 행복한 미소에 니얼굴 나 더이상 무얼 바라겠니 저 파란 하늘아래서 너와 나 여기 이렇게 사랑하고 있어 나는 이렇게 행복을 느껴 하늘은 우릴 항해 열려 있어 그리고 내곁에는 니가 있어 환한 미소와 함께 서 있는 그래 너는 푸른 바다야  더이상 슬픔은 없는 거야 지금 행복한 너와나 태양 아래 우린 서로가 사랑하는걸 알아 하늘은 우릴 항해 열려 있어 그리고 내곁에는 니가 있어 환한 미소와 함께 서 있는 그래 너는 푸른 바다야 하늘은 우릴 항해 열려 있어 그리고 내곁에는 니가 있어 환한 미소와 함께 서 있는 그래 너는 푸른 바다야 너는 푸른 바다야 난 너를 사랑해 난 너를 사랑해  난 너를 사랑해 난 너를 사랑해
1995	너에게만	랩/힙합	너는 내게서 멀어져 가고 나는 혼자 남게 됐지만 너의 기억은 아직도 나를 자꾸 눈물짓게 하지 내 맘에 내리는 이 비는 너만이 멈출 수 있어 내 눈에 흐르는 눈물은 오직 너만이 멈출 수가 있어 my baby 너는 지금 내게서 너무나 멀리에 다시 내게 올 수 없지만 눈을 감으면 아직도 나의 가슴에 항상 니가 웃으며 서 있는데 그렇게 쉽게 나를 떠났지만 나는 아직도 지울 수 없어 내가 너를 사랑했던 것만큼 그 만큼 내가 슬퍼질 뿐 내 맘에 내리는 이 비는 너만이 멈출 수 있어 내 눈에 흐르는 눈물은 오직 너만이 멈출 수가 있어 my baby 너는 지금 내게서 너무나 멀리에 다시 내게 올 수 없지만 눈을 감으면 아직도 나의 가슴에 항상 니가 웃으며 서 있는데  미워하지 않아 이렇게 가슴 아파도 널 너는 지금 내게서 너무나 멀리에 다시 내게 올 수 없지만 눈을 감으면 아직도 나의 가슴엔 널 사랑하는 마음뿐이야  멀어지는 너를 바라보는 것이 그때 내가 할 수 있는 전부 였어 하지만 나는 아직도 널 잊을 수가 없어 my angel eyes 사랑해 그대 언제까지나
1996	여름안에서	랩/힙합	언제나 꿈꿔 온 순간이 여기 지금 내게 시작되고 있어 그렇게 너를 사랑했던 내 마음을 넌 받아 주었어 오 내 기분만큼 밝은 태양과 시원한 바람들이 내게 다가와 나는 이렇게 행복을 느껴 하늘은 우릴 향해 열려 있어 그리고 내 곁에는 네가 있어 환한 미소와 함께 서 있는 그래 너는 푸른 바다야 같은 시간 속에 이렇게 함께 있는 것만으로도 난 좋아 행복한 미소에 네 얼굴 나 더이상 무얼 바라겠니 저 파란 하늘 아래서 너와 나 여기 이렇게 사랑하고 있어 나는 이렇게 오 행복을 느껴 하늘은 우릴 향해 열려 있어 그리고 내 곁에는 네가 있어 환한 미소와 함께 서 있는 그래 너는 푸른 바다야 더이상 슬픔은 없는 거야 지금 행복한 너와 나 태양 아래 우린 서로가 사랑하는걸 알아 하늘은 우릴 향해 열려 있어 그리고 내 곁에는 니가 있어 환한 미소와 함께 서 있는 그래 너는 푸른 바다야 하늘은 우릴 향해 열려 있어 그리고 내 곁에는 네가 있어 환한 미소와 함께 서 있는 그래 너는 푸른 바다야 너는 푸른 바다야 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 난 너를 사랑해 너는 푸른 바다야 원 투 쓰리 포
1996	나를 돌아봐	랩/힙합	이제 우리가 시작하겠어 바로 여기서 D E U X DEUX 여기서 우린 보여주고 싶어 D E U X DEUX DEUX 하루 하루 반복되는 날들 의미를 찾을 수 없어 순간 순간이 나에겐 힘들어 왜 언제나 너는 내 맘 속에 난 벗어나고 싶어 언제나 슬픔의 벽속에 나는 둘러싸여져 있는데 시간이 갈수록 그대는 자꾸만 멀어져 가고 있는걸 나를 돌아봐 그대 나를 너의 맘속엔 내가 없지만 나를 돌아봐 나는 지금 널 그리며 서 있어 그대는 나를 슬퍼하는 나를 지금 기다림에 날을 계속하고만 있는 나를 WHY 왜 자꾸만 외면하고 멀어져가는 거야 그대 나에게 두근거리는 내 마음을 그대는 가슴을 닫아 두고 외면을 하고 있지만 언젠가는 넌 알 수 있을꺼야 그때 너의 마음 나에게만 보여줘 언제나 슬픔의 벽속에 나는 둘러싸여져 있는데 시간이 갈수록 그대는 자꾸만 멀어져 가고 있는걸 나를 돌아봐 그대 나를 너의 맘속엔 내가 없지만 나를 돌아봐 나는 지금 널 그리며 서 있어 그대는 나를 가슴 아파하는 나를 난 너 너만을 얻고 싶어 이런 나를 정말로 정말로 이대로 지나칠 수 밖에없는지 정말 난 그대와 정말 사랑할 순 없는지 나를 돌아봐줘 그대여 나를 돌아봐 그대와 나는 하나 될 수 없는 거야 나를 돌아봐줘 그대여 나를 돌아봐 나를 돌아봐 그대 나를 너의 맘속엔 내가 없지만 나를 돌아봐 나는 지금 널 그리며 서 있어
1996	굴레를 벗어나	랩/힙합	오래 오래 그래 기다려 왔어 나도 널 나를 기다려 주던 너에게 이제야 왔어 너를 외면하면서 나 지워버릴 수가 없었던 건 내게 보여준 너의 그 사랑 오직 오직 그래 사랑을 위해 살겠어 나를 가로막는 그 모든걸 이제는 넘어서 너만을 언제나 너만을 언제나 내 가슴 안에서 나를 향하여 네가 보여 줬던 그 많은 사랑과 너의 정성을 매일 같은 표정 때론 거짓 속에 나는 그저 받았었지 내 앞을 가로막고 서있던 그 모든 위선들 오 나의 감춰졌던 위선 나에게 씌워진 굴레를 모두다 벗어버리고 이렇게 나에게 펼쳐진 나의 많은 날들을 이제는 그대와 함께 하리 나에게 자유보다 더욱 소중한걸 이제야 가르쳐 준 너를 난 사랑해 너를 그 모든 것을 이해하며 따라 준 그 너에게 난 나만의 그 모든 나만의 생각을 말해 줄뿐이었지만 너는 나를 한번도 탓하지 않았어 너의 깊은 마음을 나 알았어 언제나 그 슬픔 언제나 너의 깊은 슬픔 나도 이제 같이 하겠어 나도 너 만큼 사랑을 하겠어 그 동안처럼 함께 하겠니 나 여기 서 있을게 진정 너만을 위해 내 앞을 가로막고 서있던 그 모든 위선들 오 나의 감춰졌던 위선 나에게 씌워진 굴레를 모두다 벗어버리고 이렇게 나에게 펼쳐진 나의 많은 날들을 이제는 그대와 함께 하리 나에게 자유보다 더욱 소중한걸 이제야 가르쳐 준 너를 난 사랑해 너를 이렇게 나에게 펼쳐진 나의 많은 날들을 이제는 그대와 함께 하리 나에게 자유보다 더욱 소중한걸 이제야 가르쳐 준 너를 난 사랑해 이렇게 나에게 펼쳐진 나의 많은 날들을 이제는 그대와 함께 하리 나에게 자유보다 더욱 소중한걸 이제야 가르쳐 준 너를 난 사랑해 너를
1996	사랑, 두려움	랩/힙합	너를 안을 때마다 나는 두려워져 끝없이 터지는 나의 가슴이 너를 알기 전에 그 나의 모습은 정지된 시간속에서와 같았어 너의 눈동자를 사랑하기 전에는 시간의 모래속에 나는 그저 묻혀 있었어 불타버린 내 가슴의 아픈 흔적들이 내게 영원히 지워지지 않는다 해도 너만을 사랑하는 것이외엔 그 다른 어떤 것을 할 수 있을까 나 이대로 눈 감으면 그 앞엔 니가 있어 내 기억 한가운데엔 언제나 니가 자리할 뿐이야 함께 있을 때 만큼이나 혼자선 너무나 외로워 벗어날 수 없어 영원히 함께 있어야만해 너를 안을 때마다 나는 두려워져 끝없이 터지는 나의 가슴이 너없이는 아무것도 난 할 수가 없어 이렇게 돼버린 내 모습 내 사랑이 커지는 만큼 우린 영원할 수 있을까 너와 사랑하면 난 자꾸 힘든 나를 만들어가 너를 안을 때마다 나는 두려워져 끝없이 터지는 나의 가슴이 너 없이는 아무 것도 난 할 수가 없어 이렇게 돼버린 내 모습 너를 안을 때마다 나는 두려워져 끝없이 터지는 나의 가슴이 널 안을 때마다 그리고 널 느낄 때 마다 나의 사랑만큼 두려워지지만 너의 눈물을 마르게 해 줄 수만 있다면 나 너를 위해서 내 모든 것을 태우리 떨어져 있을 때 마다 돌아서야 할때마다 울리는 나의 가슴의 외로움이 견딜 수 없어 나는 참아낼 수 없어 그건 나를 괴롭히는 그런 괴로움 너없이는 아무 것도 나 할 수가 없어 이렇게 돼버린 내 모습 난 두려워
1996	우리는	랩/힙합	난 누군가 또 여긴 어딘가  저 멀리서 누가 날 부르고 있어 난 누군가 또 여긴 어딘가  우린 앞을 향해서만 나가겠어  주위를 아무리 둘러봐도 내 곁엔 항상 어둠뿐이었어 느낄 수 있는 건 나의 힘든 거친 숨소리 하나일 뿐 무너져 버린 희망 또 후회 속에 난 지내 왔지 하지만 이제 나는 저 알 수 없는 빛을 향해 달려가고 있어  난 누군가 또 여긴 어딘가  저 멀리서 누가 날 부르고 있어 난 누군가 또 여긴 어딘가  우린 앞을 향해서만 나가겠어  모든건 생각하기에 달려 있는 거야 너 그리고 나 다들 모두 마찬가지야 내게로 주어져 있는 생은 나에게 소중한 걸 나는 살아가며 이제 깨닫게 되었어 언제까지나 힘들지만은 않을 꺼야 비록 지금의 그대가 믿을 수 없어도 지금이 힘들어도 그대가 믿기만 한다면 언젠가 새로운 모습이 돼 있을 꺼야  나에게 힘든 수많은 일들 나를 쓰러지게 만들었어도 나에겐 앞으로 더욱 많은 날들이 남아 있을 뿐이야  무너져 버린 희망 또 후회 속에 난 지내 왔지 하지만 이제 나는 내 앞에 있는 그댈 향해 달려가고 있어  난 누군가 또 여긴 어딘가  저 멀리서 누가 날 부르고 있어 난 누군가 또 여긴 어딘가  우린 앞을 향해서만 나가겠어  나 이제 난 알리고 싶어 나의 뜻을 생각을 의미를 모두에게 지금 비록 힘들어도 그건 언제나 계속은 아닐 꺼야 잘 들어줘 이건 언제나 현실, 그리고 사실이야 지금까지는 쓰러져 있다 해도 괜찮아 그러니까 지금 일어나 우리의 새로운 날을 지금 기다려!  난 누군가 또 여긴 어딘가  저 멀리서 누가 날 부르고 있어 난 누군가 또 여긴 어딘가  우린 앞을 향해서만 나가겠어
1996	상처	랩/힙합	나 한순간도 널 놓치기가 싫어 하지만 그 말을 할 순 없어 내 가슴속 깊이에선 언제나 내곁에 있는 널 원하지만 나에 곁에만 있어 주길 원하는 건 그저 나의 욕심일까? 설명할 수 없는 복잡한 슬픔들이 나의 사랑일까 Oh~ Yo! baby I wasn't you be mine! 나 그대를 언제나 내 옆에 두고만 싶지만 너에게 난! 그런 말을 할 자신이 없어 다른 사람을 얘기하는 것도 내게는 상처란 걸 알면 웃어 버릴까 두려워 또 지나쳐 버릴까. 두려워 우! 모든 말들이 내게로 널 가두려고 하는 것 같아 보일 것 같아. 더욱 두려워 아무렇지도 않게 언제나 다른 사람에 얘길 하는 너를 아무렇지도 않은 얼굴로 나 역시 들어주는 척하지만 내 마음 가득히 차 있는 고민은 그런 너를 볼 때마다 커지고 난 너에게 말하고 싶은 건 항상 나를 바라봐줘. 시간이 지날수록 사랑이 점점 깊어지는걸 느끼지만 그럴수록 너에 대한 나의 슬픔도 함께 커져 가고 있어 어떻게 너에게 설명을 할건지 생각할수록 더 어려워지고 넌 오늘도 어제와 같은 얘기언제나 넌 같은 얘기뿐
