년도	제목	장르	가사
1994	교실 이데아	록/메탈	됐어 됐어 됐어 됐어 이제 그런 가르침은 됐어 그걸로 족해 족해 족해 족해 내 사투로 내가 늘어놓을래 매일 아침 일곱시 삼십분까지 우릴 조그만 교실로 몰아넣고 전국 구백만의 아이들의 머리속에 모두 똑같은것만 집어넣고 있어 막힌 꽉 막힌 사방이 막힌 널 그리고 우릴 덥썩 모두를 먹어삼킨 이 시꺼먼 교실에서만 내 젊음을 보내기는 너무 아까워 좀 더 비싼 너로 만들어 주겠어 네 옆에 앉아있는 그애보다 더 하나씩 머리를 밟고 올라서도록 해 좀 더 잘난 네가 될수가 있어 왜 바꾸지 않고 마음을 조이며 젊은날을 헤매일까 바꾸지 않고 남이 바꾸길바라고만 있을까 됐어 됐어 이젠 됐어 됐어 이제 그런 가르침은 됐어 그걸로 족해 족해 이젠 족해 족해 내 사투로 내가 늘어놓을래 국민학교에서 중학교로 들어가면 고등학교를 지나 우릴 포장센터로 넘겨 겉보기 좋은 널 만들기 위해 우릴 대학이란 포장지로 멋지게 싸버리지 이젠 생각해봐 대학 본 얼굴은 가린채 근엄한 척 할 시대가 지나버린건 좀 더 솔직해봐 넌 알 수 있어 좀 더 비싼 너로 만들어 주겠어 네 옆에 앉아있는 그애보다 더 하나씩 머리를 밟고 올라서도록 해 좀 더 잘난 네가 될수가 있어 왜 바꾸진 않고 마음을 조이며 젊은날을 헤맬까 바꾸지 않고 남이 바꾸길바라고만 있을까 왜 바꾸진 않고 마음을 조이며 젊은날을 헤맬까 바꾸지 않고 남이 바꾸길바라고만 있을까 오 됐어 됐어 이젠 됐어 됐어 이제 그런 가르침은 됐어 됐어
1994	널 지우려 해	록/메탈	우연히 길을 걷다 음 마주친 그 모습에 너무 놀랬어 작고 귀엽고 깨물어 주고싶던 그녀의 모습 너무 닮았어 너를 잊었다고 생각했었어 너를 본건지 넌 어디있는지 너도 가끔씩은 내 생각을 하는지 쓸데없는 걱정으로 한숨만 짓네 이제는 너를 지우려고해 두번 다신 너를 떠올리진 않아 가슴 아픈 일이지만 네 생각에 눈물 짓지 않을거야 내 마음을 찾고 싶었어 생각하면 마음만 아픈데 아직까지 널 잊지 못하나 짓궂었던 너의 목소리가 내 귓가에서 들릴 것 같아 슬픈 일들도 좋은 추억도 이 눈물과 함께 담아 날려버리고 이제 나도 나를 찾아 떠나가겠어 이제는 너를 지우려고해 두번 다시 너를 떠올리진 않아 가슴 아픈 일이지만 네생각에 눈물 짓지 않을거야 내 마음을 찾고 싶었어 내가 너를 처음 본 곳 마지막 한 번 가보고 싶었어 비가 오는 이밤 길을 정신없이 그냥 걷고 있네 한도 없이 걷다보면 너를 잊을수 있을 것 같아 얼마나 더 가야하는가 언제나 언제나 너를 지을수 있나 소리쳐 너를 부르고 있어 큰소리쳐 너를 부르고 있어
1994	발해를 꿈꾸며	록/메탈	진정 나에겐 단 한가지 내가 소망하는 게 있어 갈려진 땅의 친구들을 언제쯤 볼 수가 있을까 망설일 시간에 우리를 잃어요 한 민족인 형제인 우리가 서로를 겨누고 있고 우리가 만든 큰 욕심에 내가 먼저 죽는걸 진정 너는 알고는 있나 전 인류가 살고 죽고 처절한 그날을 잊었던 건 아니었겠지 우리 몸을 반을 가른 채 현실 없이 살아갈건가 치유할 수 없는 아픔에 절규하는 우릴 지켜줘 시원스레 맘의 문을 열고 우리와 나갈 길을 찾아요 더 행복할 미래가 있어 우리에겐 언젠가 나의 작은 땅에 경계선이 사라지는 날 많은 사람이 마음속에 희망들을 가득 담겠지 난 지금 평화와 사랑을 바래요 젊은 우리 힘들이 모이면 세상을 흔들수 있고 우리가 서로 손을 잡은 것으로 큰 힘인데 우리 몸을 반을 가른채 현실없이 살아갈건가 치유할수 없는 아픔에 절규하는 우릴 지켜줘 갈수 없는 길에 뿌려진 천만인의 눈물이 있어 워 나에겐 갈수도 볼 수도 없는가 저 하늘로 자유롭게 저 새들과 함께 날고 싶어 우리들이 항상 바라는것 서로가 웃고 돕고 사는것 이젠 함께 하나를 보며 나가요
1995	나의 곁엔 언제나	록/메탈	언제나 나만을 바라보는 그대와 함께 새로운 세상을 찾는거야 나의 곁에 있는 그대를 위해  변해가는 내모습 너는 알고 있었지만 아무말도 하지 못하고 슬픔에 젖어있네 이해할 수 있다면 내게 말을 하고 돌아선 멀어지는 너의 모습에 조금은 미안했어 오랜시간이 지나 다른사랑은 날 떠나가고 너는 말없이 날보며 다시 돌아오길 기다렸어 언제나 나만을 바라보는 그대의 눈엔 오래전 숨겨둔 많은 얘기가 가슴 아프도록 흐르고 있어 이제는 철없던 지난날을 잊어버리고 새로운 세상을 찾는거야 나의 곁에 있는 그대를 위해......  오랜시간이 지나 다른사랑은 날 떠나가고 너는 말없이 날보며 다시 돌아오길 기다렸어 언제나 나만을 바라보는 그대의 눈엔 오래전 숨겨둔 많은 얘기가 가슴 아프도록 흐르고 있어 이제는 철없던 지난날을 잊어버리고 새로운 세상을 찾는거야 나의 곁에 있는 그대를 위해...... 나의 곁에 있는 그대를 위해......
1995	나의 파라다이스	록/메탈	나를 떠난 너와 오래전에 가고 싶었던 이곳은 따스한 햇살아래 세상이 아름다워 지친 나를 깨워주고 잃어버린 지난 시간들을 나의 가슴으로 느끼면 해지는 노을은 그려진 그림처럼 붉게 물들어 가는데 그리움 하나 만으로 너를 지울순 없어 변함없는 내 마음을 언제나 간직할꺼야  너만을 위해 다시 찾아가고 싶은 나의 파라다이스 우리들의 사랑을 꿈꾸며 너만을 향한 나의 기다림을 너는 알고 있잖아 처음부터 나에겐 오직 너 하나뿐 이란걸  그리움 하나 만으로 너를 지울순 없어 변함없는 내 마음을 언제나 간직할꺼야 너만을 위해 다시 찾아가고 싶은 나의 파라다이스 우리들의 사랑을 꿈꾸며 너만을 향한 나의 기다림을 너는 알고 있잖아 처음부터 나에겐 오직 너 하나뿐 이란걸
1996	시대유감(時代遺憾)	록/메탈	왜 기다려 왔잖아 모든 삶을 포기하는 소리를 이 세상이 모두 미쳐버릴 일이 벌어질것 같네 짜식들이 되게 시끄럽게 구네 그렇게 거만하기만 한 주제에 거짓된 너의 가식때문에 너의 얼굴 가죽은 꿈틀거리고 나이든 유식한 어른들은 예쁜 인형을 들고 거릴 헤메다니네 모두가 은근히 바라보고있는 그런날이 바로 오늘 올것만 같아 검게 물든 입술 정직한 사람들의 시대는 갔어 숱한 가식 속에 오늘은 아우성을 들을 수 있어 왜 기다려왔잖아 모든 삶을 포기하는 소리를 이세상이 모두 미쳐버릴 일이 벌어질것 같네 부러져 버린 너의 그런 날개로 너는 얼마나 날아갈 수 있다 생각하나 모두를 뒤집어 새로운 세상이 오길 바라네 너의 심장은 태워버리고 너의 그 날카로운 발톱들은 감추고 돌이킬수 없는 과거와 모두가 잘못되어 가고 있는데 검게 물든 입술 정직한 사람들의 시대는 갔어 숱한 가식속에 오늘은 아우성을 들을 수 있어 왜 기다려왔잖아 모든 삶을 포기하는 소리를 이세상이 모두 미쳐버릴 일이 벌어질것 같네 바로 오늘이 두개의 달이 떠오르는 밤이야 내 가슴에 맺힌 한을 풀수 있기를 오늘이야
1999	헤어진 후에	록/메탈	미안해 그런 표정은 짓는게 아니었는데 어쨌든 너의 그사람 정말로 괜찮았었어 많이 고민했었어 그자릴 지켜야 하는지 이제 너와난 끝난 사이니까 왜 나를 나오라했니 겨우 조금은 너를 지운거라 생각했었는데 이렇게 날 힘들게 해야했니 친구로 지내잔 마지막 말론 너의 기분을 채울수는 없니 그만큼 나로인해 힘들다면 사과할게 정말 너무나 미안해 이젠 너의사람을 위해서 영원히 나를 기억에 지워줘 너만 행복할수있다면 많이 고민했었어 그자릴 지켜야 하는지 이제 너와난 끝난 사이니까 왜 나를 나오라했니 겨우 조금은 너를 지운거라 생각했었는데 이렇게 날 힘들게 해야했니 친구로 지내잔 마지막 말론 너의 기분을 채울수는 없니 그만큼 나로인해 힘들다면 사과할게 정말 너무나 미안해 이젠 너의사랑을 위해서 영원히 나를 기억에 지워줘 너만 행복할수있다면 다신 나를 만나려 하지마 혹시 우릴 오해할지 모르니 단지 그사람을 위해 모든걸 생각해줘 나는 정말로 괜찮아 우리 사랑했었던 기억도 이젠 너를위해 모두 지울게 너만 행복할수 있다면
1999	깊은 슬픔	록/메탈	잊은거니 우리둘만의 약속 지금 어디 있는거야 다 나은 모습으로 바로 오늘 이곳에 돌아올거란 그말 기억하지 못한 거니 아닐 거야 조금 더 기다리면 너는 꼭 돌아올거야 나를 사랑하기에 행복하다 했던 넌 나를 안으며 눈물 흘릴거야 꿈속에 본 너의 얼굴은 정말 예뻤어 창백한 모습도 사라진채 깨어난 후 한참동안을 울어야 했어 이젠 볼수 있다는 생각 때문에 지금 어디쯤 온거니 어딘가에서 날 보고 있니 미안해 숨어있는 거라면 화내지 않을 거야 정말 괜찮아 세상을 미워했었어 하필 니가 아파야 했는지 이제는 이런 생각 모두 지울게 너의 모든걸 감사해 할거야 왜 아직도 너의 모습은 보이질 않아 아주 많이 어두워 졌는데 혹시 많이 아파서 돌아오지 못했니 다시는 나를 울게 하지 말아줘 지금 어디쯤 온거니 어딘가에서 날 보고 있니 미안해 숨어있는 거라면 화내지 않을거야 정말 괜찮아 세상에 니가 없다면 어떤 연락도 하지 말아줘 언제나 니가 살아있단 생각에 영원히 널 기다릴수 있잖아
1999	비련	록/메탈	할 수 없어 너를 잊는건 네가 없는 나는 없으니 처음엔 다른 누굴 만난다는게 쉬울거라고 생각했던 나지만 왜 이런 나를 이해 못하니 떠난다는 널 잡으려하는 나를 울어야만 한다면 얼마든지 울거야 모든걸 첨으로 돌릴 순 없겠니 난 견딜 수 없을 것 같아 다시는 널 볼 수 없다는 현실에 그 무엇보다 자신없게 만드는거야 널 버려야만 내가 살 줄 알았어 용서해줘 꼭 지금이 아니라도 그게 힘들다는걸 내가 더 잘 알아 내게 다신 올 수 없니 많이 힘들겠지만 왜 이런 나를 이해 못하니 떠난다는 널 잡으려하는 나를 울어야만 한다면 얼마든지 울거야 모든걸 첨으로 돌릴 수 없겠니 널 사랑했었냐고 했지 그 모든게 믿을 수 없다고 했지 날 잊는 것이 자신없을 거라는 니 말 널 버려야만 내가 살 줄 알았어 용서해 줘 꼭 지금이 아니라도 그게 힘들다는걸 내가 더 잘 알아 내게 너 올 수 없대도 이해할 수가 있어 내 잘못인걸
1999	부탁이야	록/메탈	부탁이야 니 안에 나만을 이젠 잊기로 해 지금 나처럼 힘들겠지 하지만 모든 걸 이젠 너 현실로 받아들여야 해 내가 세상에 남길 슬픔은 바로 너 하나라는게 난 견딜 수 없어 난 정말 괜찮아 남아있을 니가 더 힘이 들까봐 난 걱정이되 나 부탁이 있어 내게 온다고 너 바보처럼 또 니 삶을 포기하진 않기를 바래 이 세상에서 날 볼 수 없다고 울고 그러지는 마  내일 아침엔 널 볼 수 없을거야 이젠 모든 것이 너무 힘이 들어 하지만 괜찮아 이 세상에서 내가 가져갈 니 사랑이 있으니 나 부탁이 있어 내가 없다고 혼자 지내진 마 그런게 날 위하는건 아닐거야 이 세상에서 날 볼 수 없다고 울고 그러지는 마 나 부탁이 있어 내게 온다고 너 바보처럼 또 니 삶을 포기하진 않기를 바래 이 세상에서 날 볼 수 없다고 울고 그러지는 마 힘들겠지만 니 안에 나를 잊어줘 니 안에 나를 잊어줘
